name,start,stop
a,14623.76,14623.893333333333
b,14623.960000000001,14624.053333333335
c,14624.080000000002,14624.2
d,14624.273333333334,14624.386666666667
a,14624.506666666668,14624.640000000001
b,14624.706666666667,14624.753333333334
c,14624.833333333334,14624.94
c,14737.660000000002,14737.7
i,15425.960000000001,15426.000000000002
i,15426.466666666667,15426.506666666668
i,15426.866666666667,15426.906666666668
i,15427.786666666667,15427.833333333334
i,15427.913333333334,15427.960000000001
i,15428.066666666668,15428.106666666668
a,15428.213333333335,15428.346666666668
b,15428.406666666668,15428.500000000002
c,15428.52,15428.640000000001
i,15429.52,15429.566666666668
i,15429.660000000002,15429.706666666667
a,15429.846666666668,15429.980000000001
b,15430.04,15430.126666666667
c,15430.160000000002,15430.273333333334
d,15430.346666666668,15430.460000000001
a,15430.573333333334,15430.713333333335
b,15430.773333333334,15430.826666666668
c,15430.893333333333,15431.006666666668
i,15801.286666666667,15801.320000000002
i,15801.526666666668,15801.560000000001
i,15801.740000000002,15801.78
i,15801.920000000002,15801.960000000001
i,15802.080000000002,15802.12
i,15802.333333333334,15802.373333333335
i,15802.473333333335,15802.513333333334
a,15802.593333333334,15802.726666666667
b,15802.793333333335,15802.886666666667
c,15802.920000000002,15803.04
d,15803.12,15803.226666666667
a,15803.353333333334,15803.493333333334
b,15803.560000000001,15803.613333333335
c,15803.68,15803.800000000001
d,15803.893333333335,15804.006666666668
a,15804.140000000001,15804.273333333334
b,15804.34,15804.393333333335
c,15804.466666666667,15804.580000000002
i,15805.126666666667,15805.166666666668
i,15805.193333333335,15805.226666666667
i,15805.253333333334,15805.293333333335
a,15805.420000000002,15805.553333333335
b,15805.62,15805.713333333335
c,15805.746666666668,15805.866666666667
i,16022.640000000001,16022.673333333334
i,17440.72,17440.753333333334
i,17449.84,17449.873333333333
i,17451.113333333335,17451.146666666667
i,17473.64,17473.673333333336
i,17577.98,17578.02
i,17578.106666666667,17578.146666666667
i,17584.093333333334,17584.126666666667
i,17618.22,17618.260000000002
c,18370.0,18370.073333333334
a,18374.04666666667,18374.086666666666
c,18374.100000000002,18374.133333333335
i,18960.086666666666,18960.126666666667
i,18960.18,18960.213333333333
i,18960.24,18960.38
i,18960.4,18960.440000000002
i,18960.52666666667,18960.573333333334
i,18960.653333333335,18960.693333333336
a,18960.786666666667,18960.913333333334
b,18960.973333333335,18961.06666666667
c,18961.100000000002,18961.213333333333
d,18961.286666666667,18961.393333333333
a,18961.52,18961.646666666667
b,18961.70666666667,18961.766666666666
c,18961.826666666668,18961.946666666667
d,18962.033333333333,18962.14
a,18962.266666666666,18962.38666666667
b,18962.460000000003,18962.506666666668
c,18962.58,18962.693333333336
i,19150.38,19150.413333333334
i,20574.353333333336,20574.38666666667
i,20574.666666666668,20574.70666666667
i,20574.813333333335,20574.853333333336
i,20574.973333333335,20575.013333333336
i,20575.106666666667,20575.146666666667
i,20575.233333333334,20575.266666666666
a,20575.32,20575.433333333334
b,20575.52,20575.56666666667
c,20575.646666666667,20575.760000000002
i,20575.986666666668,20576.02666666667
a,20576.093333333334,20576.24
b,20576.300000000003,20576.353333333336
c,20576.426666666666,20576.54
d,20576.626666666667,20576.74
i,20576.773333333334,20576.806666666667
a,20576.873333333333,20577.006666666668
b,20577.073333333334,20577.126666666667
c,20577.2,20577.313333333335
d,20577.413333333334,20577.52666666667
a,20577.653333333335,20577.793333333335
b,20577.86,20577.913333333334
c,20577.986666666668,20578.100000000002
i,20578.486666666668,20578.52666666667
i,20578.633333333335,20578.673333333336
a,20578.826666666668,20578.953333333335
b,20579.02,20579.073333333334
c,20579.153333333335,20579.260000000002
d,20579.36666666667,20579.466666666667
a,20579.600000000002,20579.733333333334
b,20579.806666666667,20579.86
i,21034.24,21034.273333333334
i,21983.233333333334,21983.273333333334
i,21983.4,21983.440000000002
i,21983.573333333334,21983.613333333335
i,21983.753333333334,21983.793333333335
i,21983.893333333333,21983.926666666666
a,21984.04666666667,21984.153333333335
b,21984.24,21984.286666666667
c,21984.373333333333,21984.486666666668
d,21984.573333333334,21984.68
a,21984.813333333335,21984.946666666667
b,21985.013333333336,21985.06666666667
c,21985.146666666667,21985.260000000002
i,21985.480000000003,21985.513333333336
a,21985.573333333334,21985.7
b,21985.773333333334,21985.86666666667
i,21986.353333333336,21986.393333333333
i,21986.493333333336,21986.533333333336
a,21986.673333333336,21986.800000000003
b,21986.86666666667,21986.920000000002
c,21987.0,21987.106666666667
i,22724.440000000002,22724.480000000003
i,22724.56666666667,22724.606666666667
i,22724.7,22724.74666666667
i,22724.84,22724.88
i,22724.973333333335,22725.013333333336
i,22725.146666666667,22725.193333333336
a,22725.280000000002,22725.420000000002
b,22725.480000000003,22725.533333333336
c,22725.613333333335,22725.72666666667
d,22725.82,22725.92666666667
i,22726.153333333335,22726.193333333336
a,22726.326666666668,22726.460000000003
b,22726.52666666667,22726.620000000003
c,22726.653333333335,22726.773333333334
d,22726.853333333336,22726.966666666667
a,22727.093333333334,22727.233333333334
b,22727.293333333335,22727.38666666667
c,22727.42666666667,22727.54
i,22727.853333333336,22727.893333333333
a,22728.02666666667,22728.16
b,22728.22666666667,22728.326666666668
c,22728.36666666667,22728.433333333334
i,22837.74666666667,22837.780000000002
i,22837.893333333333,22837.92666666667
i,22936.34,22936.373333333333
i,22966.920000000002,22966.953333333335
i,23202.133333333335,23202.18
i,23435.06,23435.093333333334
i,23615.333333333336,23615.36666666667
i,23622.620000000003,23622.66
i,23622.74666666667,23622.793333333335
i,23741.300000000003,23741.333333333336
i,23744.72666666667,23744.760000000002
i,23829.873333333337,23829.913333333334
i,23830.02666666667,23830.06666666667
i,23830.153333333335,23830.193333333336
i,23830.4,23830.440000000002
i,23830.56,23830.600000000002
a,23830.753333333334,23830.88666666667
b,23830.946666666667,23831.0
c,23831.073333333334,23831.18
i,24495.420000000002,24495.453333333335
i,24879.820000000003,24879.853333333336
i,24879.940000000002,24879.980000000003
i,24880.0,24880.08
i,24880.106666666667,24880.140000000003
i,24880.16,24880.2
i,24880.22,24880.253333333334
i,24880.280000000002,24880.320000000003
a,24880.480000000003,24880.613333333335
b,24880.68,24880.733333333334
c,24880.806666666667,24880.92666666667
d,24881.006666666668,24881.120000000003
a,24881.24666666667,24881.38
b,24881.446666666667,24881.493333333336
c,24881.573333333334,24881.68666666667
i,24882.326666666668,24882.373333333337
i,24882.52,24882.56
a,24882.70666666667,24882.826666666668
b,24882.9,24882.946666666667
c,24883.02666666667,24883.140000000003
i,24920.946666666667,24920.980000000003
i,25468.08666666667,25468.126666666667
i,25468.193333333336,25468.22666666667
i,25468.333333333336,25468.373333333337
i,25468.486666666668,25468.52666666667
i,25468.626666666667,25468.666666666668
i,25468.74666666667,25468.786666666667
i,25468.873333333337,25468.90666666667
a,25468.973333333335,25469.08666666667
b,25469.166666666668,25469.260000000002
c,25469.300000000003,25469.413333333334
d,25469.486666666668,25469.593333333334
a,25469.72,25469.853333333336
b,25469.920000000002,25469.973333333335
c,25470.04666666667,25470.16
i,25470.493333333336,25470.533333333336
a,25470.68666666667,25470.806666666667
b,25470.88,25470.933333333334
c,25471.006666666668,25471.120000000003
d,25471.2,25471.313333333335
a,25471.440000000002,25471.573333333334
b,25471.640000000003,25471.693333333336
i,25806.353333333336,25806.38666666667
i,26142.780000000002,26142.820000000003
i,26142.893333333333,26142.940000000002
i,26158.18,26158.213333333337
i,26158.74666666667,26158.780000000002
i,26159.126666666667,26159.160000000003
i,26160.346666666668,26160.38
i,26242.88666666667,26242.92666666667
i,26243.793333333335,26243.833333333336
i,26246.873333333337,26246.90666666667
i,26247.0,26247.04
i,26264.353333333336,26264.38666666667
i,26264.466666666667,26264.506666666668
i,26264.666666666668,26264.70666666667
i,26265.486666666668,26265.52666666667
i,26265.713333333337,26265.74666666667
i,26449.213333333337,26449.24666666667
i,26514.260000000002,26514.293333333335
i,26514.413333333334,26514.446666666667
i,26543.933333333334,26543.966666666667
i,26629.826666666668,26629.86
i,26658.806666666667,26658.84
i,26672.90666666667,26672.940000000002
i,26688.88,26688.913333333334
i,26696.486666666668,26696.52
a,27338.26666666667,27338.326666666668
i,27338.72666666667,27338.76666666667
i,27338.84,27338.88
i,27338.913333333334,27338.946666666667
i,27338.973333333335,27339.013333333336
i,27339.033333333336,27339.06666666667
i,27339.093333333334,27339.173333333336
i,27339.2,27339.233333333334
a,27339.286666666667,27339.42666666667
b,27339.486666666668,27339.54
c,27339.613333333335,27339.72666666667
d,27339.806666666667,27339.913333333334
a,27340.033333333336,27340.166666666668
b,27340.233333333334,27340.286666666667
c,27340.36,27340.473333333335
d,27340.553333333333,27340.660000000003
a,27340.793333333335,27340.913333333334
b,27340.986666666668,27341.04
c,27341.113333333335,27341.22
i,27341.373333333337,27341.413333333334
i,27341.5,27341.54
a,27341.666666666668,27341.793333333335
b,27341.86666666667,27341.920000000002
c,27341.993333333336,27342.10666666667
i,27600.22,27600.260000000002
i,27600.5,27600.54
i,27600.72,27600.760000000002
i,27600.88666666667,27600.92666666667
i,27601.04,27601.08
a,27601.233333333334,27601.346666666668
b,27601.433333333334,27601.486666666668
c,27601.56666666667,27601.68
i,28000.7,28000.74
i,28000.84,28000.88
i,28001.06,28001.093333333334
i,28001.193333333336,28001.233333333334
i,28001.313333333335,28001.346666666668
i,28001.373333333337,28001.40666666667
i,28001.433333333334,28001.480000000003
a,28001.56,28001.693333333336
b,28001.760000000002,28001.853333333336
c,28001.88,28002.0
d,28002.073333333334,28002.18
a,28002.306666666667,28002.440000000002
